,gene length,silent,nonsense,splice site,missense,recurrent missense,frameshift indel,inframe indel,lost start and stop,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,exp_mean,exp_std,methy_mean,methy_std,cna_mean,cna_std,3'UTR,5'UTR,SNP,DEL,INS
SNAP91,0.004511029577820129,0.0034918662556642516,-0.009846037108662479,-0.0043381274276730174,-0.0013639065266367982,-0.005035843624207933,-0.0005240606317806571,0.0,0.0,0.0062219445661046095,-0.005002970102492607,0.00493704762575199,-0.019073795934029823,-0.01863981657986926,-0.022063660444145414,0.024144226731910412,0.0067343329299569665,0.002991809943376486,-0.008309569783700808,-0.004808268668591631,0.0,0.0,-0.005247475969314956,-0.0012762273269819532,0.0
SNRNP25,-0.014563811691276796,0.0025843612302131995,-0.006392976807766893,-0.005927904820642366,0.0,-0.006694427196841342,-0.0006560891043365623,0.0,0.0,-0.0016676330604008796,-0.005522218009826557,-0.005568131352312718,-0.007936232045051523,-0.009230115109038007,0.003793007898042513,-0.007859329950043587,-0.0007385450806679135,-0.006458215439693238,-0.014197164679334556,-0.002932002016081764,0.0,0.0,-0.006309340041406777,-0.0014588304591319767,0.0
SNTN,-0.01354134072677959,0.0021569480459082534,-0.007380053420964004,-0.006519354113367027,-0.001320097734497063,-0.005681968953492879,-0.0006059855500796969,0.0,0.0,0.002545353213548072,0.009262128070218334,0.004565453996010439,-0.03952334312022973,-0.03543492317691872,-0.02427389550054236,0.005546068187367571,-0.001047685911962349,-0.008525015075804804,0.018589611567778025,0.026613048116979225,0.0,0.0,-0.00540124628777279,-0.0010926326943299508,0.0
SORCS2,0.0013952751983461811,-0.011887230247235474,-0.006441265049634853,-0.004622720220353378,-0.0018551027365003789,-0.006395312495066547,-0.0008157689931915235,0.0,0.0,0.005225286456372564,-0.001153608850814291,-0.004009364432137362,-0.01812380946152077,-0.022677880503690847,0.003543837832741332,-0.005145398560643832,-0.0006401061679253382,-0.004656671348209877,-0.011972084380392392,-0.0030779174847876956,0.0,0.0,-0.005305198317204288,-0.0015015103547013353,0.0
SOX14,-0.007927939430381944,-0.01108660888529491,-0.007363553261200717,-0.005855162765999903,0.0,-0.0068605645774392834,-0.001253654161794968,0.0,0.0,0.0024649717248344093,0.004019324631725481,0.0017147420084353564,-0.017161416395439645,-0.018020313445939823,-0.013019019817325008,0.002094840170796775,0.0,-0.004108815076354223,-0.01073601637981338,-0.0023929263111464377,0.0,0.0,-0.005734176669217356,-0.0012712138559469593,0.0
SPAG16,-0.004232741699209331,0.001915837020971211,-0.009149275096083521,-0.005503444231252059,-0.0011012913003573578,-0.0058222554566069035,-0.0008204870440931111,0.0,0.0,0.004160881272777663,0.001942069610694784,0.001744813752164849,-0.01880164374470695,-0.019750282352707333,-0.009231927100944469,-0.005793457176680113,0.003307569815174577,-0.0008400627202960267,-0.011329599829936254,-0.008080231646045016,0.0,0.0,-0.004887457795752115,-0.0007007072508055101,0.0
SPAG5,0.0028742219009200345,-0.02182129937185824,-0.008219836169053703,-0.005716599473633111,0.0016645611565718373,-0.006327821579914291,-0.0007863633440600808,0.0,0.0,-0.008651644020809871,-0.0004942834058839912,-0.00386950636715222,-0.011426127921578854,0.0139637662106642,-0.0033156293029806567,-0.0025590299792080627,0.005015889422589447,-0.0032117701397900086,-0.017911019669649614,-0.005125947795189489,0.0,0.0,-0.006234259536470055,-0.0012971840633967252,0.0
SPDL1,-0.010275458255868179,0.0031451022731674785,-0.006799400857034996,-0.005339797199047567,-0.001126277373711607,-0.00644995701375977,-0.0011671998048994568,0.0,0.0,0.005637990128948684,-0.002412407652222729,-0.0013139899461667437,-0.0076793952132876535,0.0038875814227319182,-0.007431121006568866,-0.0045064871418349604,-0.0010121968116051719,-0.007542624903292619,-0.014553387360435627,-0.018962370686104985,0.0,0.0,-0.005463429378174484,-0.0012279138135732753,0.0
SPG7,0.005879807711397463,-0.035705325193167936,-0.006123071801134104,-0.004735688369029363,-0.014366055197316006,-0.005920019835496646,-0.0006933853273391644,0.0,0.0,-0.005407786454247257,-0.007052624658036855,-0.0005990188731207638,-0.0031595012063822675,0.016119598014718687,0.01218945185171934,0.006594624618232438,-0.0035295065285613995,0.06974315708329874,-0.02330226578630669,-0.005203063486906509,0.0,0.0,-0.006583829007675703,-0.00016680957595802473,0.0
SPHKAP,0.004443698549681838,0.0032544002146024965,-0.008294626933318158,-0.00546149976857719,0.0006807705616915065,-0.006331138039913836,-0.0003659432465722718,0.0,0.0,0.0,-0.0022574750718055182,0.0036863393658735297,-0.028942507034488613,-0.04105520889590262,-0.026040759666426265,-0.004785975278441785,0.0012022698898244682,-0.008113713270673678,0.00850519232819649,0.019526883528386316,0.0,0.0,-0.003930697144913231,-0.0010746554418688548,0.0
SPTBN1,0.05260973575187836,0.010613687140482614,-0.006957704885893567,-0.0069552175367893,0.003684583606403612,-0.0047972291853881615,-0.0007281244232787776,0.0,0.0,-0.01749283715455369,-0.010710195734773215,-0.00760523335397907,0.07085750585834726,0.046960201923993646,0.025056973377157333,-0.010109964169750603,-0.003069880500665283,-0.021838461330325083,-0.0406817846145745,-0.03807592005636173,0.0,0.0,-0.0075433514951466565,0.0,0.0
SRRM2,0.06799905171886383,0.011174159984715687,-0.0037490810120042878,-0.004215579439412989,0.003692058981216821,-0.0026336549678986493,0.0007241618588712528,0.0,0.0,-0.005618095779502341,-0.002763764211055758,-0.01102796840958567,0.18905792986012754,0.19156190815030966,0.05272889949227308,0.010535243610888326,0.0,0.042281048573255035,0.018025476935681094,-0.008661332645194697,0.0,0.0,-0.0032390527730083996,-0.0031308171879469437,0.0
SRSF4,-0.022454147435770098,0.003386370984475722,-0.0064208038848136,-0.005684648161832513,0.0,-0.0064688797459395465,-0.0007495048671473984,0.0,0.0,-0.0034265112269300044,-0.006397883246091404,-0.0037350286148044864,-0.007276556386309783,0.01381423674474241,-0.007041373834771326,-0.008109763456802978,-0.0009830870901888604,-0.006684069819738892,-0.01157211225959636,-0.012708755043989772,0.0,0.0,-0.006269368232905956,-0.0013346645381352717,0.0
SSX5,-0.00830164513300908,0.003312083622789841,-0.007714961100353723,-0.004877594410118825,-0.0007754335204863735,-0.005634861354471641,-0.0007276335756868195,0.0,0.0,-0.002296457873174132,-0.0001941828262615533,-0.0031569884602573144,-0.016958211989757097,-0.016109912809718022,-0.012814998765449795,0.05130337062033908,-0.001168517156655063,-0.005506004660576361,-0.010334664883741004,-0.0090958637454732,0.0,0.0,-0.005403989790357375,-0.0008029394469888165,0.0
ST3GAL3,-0.008194946418277674,0.0016943829687179057,-0.007731562869830632,-0.00536386549231245,-0.00016044671018324713,-0.006602477974491025,-0.0006231961929247277,0.0,0.0,-0.0013573479658637658,-0.0028317043677842588,-0.002947104245523781,-0.015827085406713584,-0.017944003912969728,0.004097951132666795,-0.005498111154950799,0.0010593157235328846,-0.003971235102543758,-0.0077627516647748585,-0.007627722858485661,0.0,0.0,-0.006278490566703834,-0.0014842422752291556,0.0
STIP1,-0.023533908729597788,0.00864735763074518,-0.009506185519775659,-0.005791927769092973,0.0,-0.006023447601925602,-0.00046673089284736424,0.0,0.0,-0.013694486957572584,-0.003652860725856506,-0.008073427385267373,0.058346277512290344,0.05958935628435886,0.018161016772447157,-0.005246589989217959,0.0031873008689555105,-0.001785641302743417,-0.019653875476404098,-0.02693659343403172,0.0,0.0,-0.006498209770801228,-0.000517306963546231,0.0
STK11IP,0.0011079267224011237,-0.01625189699054099,-0.005963588651793975,-0.006053846654099922,-0.0015956473840711485,-0.006139286398341742,-0.0007484662508389847,0.0,0.0,-0.0024760623965951623,-0.00155798158523264,-0.003547704907746446,-0.007418027271603272,-0.021937212001731793,0.005177124536322859,-0.004877144664625965,-0.0008532981173165442,-0.0050352106208344065,-0.014084125854605445,-0.0030143248910636244,0.0,0.0,-0.006278503797112006,-0.0009502253180724146,0.0
