gene	Total SNV Mutations	SNVs Unmapped to Ref Tx	inactivating count	inactivating p-value	inactivating BH q-value
ATP12A	1	0	1	0.08816009873931059	0.2518883283956549
OIT3	1	0	1	0.08820675663755843	0.2518883283956549
USP9Y	1	0	1	0.08821453775582216	0.2518883283956549
GRPEL1	1	0	1	0.08888888888888889	0.2518883283956549
PCDH20	2	0	1	0.08899172376968942	0.2518883283956549
BCDIN3D	1	0	1	0.0892299455697332	0.2518883283956549
CD83	1	0	1	0.08962982880702698	0.2518883283956549
OTOA	1	0	1	0.09030160736861116	0.2518883283956549
OR2T4	2	0	1	0.09165062780680047	0.2518883283956549
PLCD4	2	0	1	0.09174311926605505	0.2518883283956549
PLEKHM3	1	0	1	0.09182736455463728	0.2518883283956549
USH1C	1	0	1	0.09205560158335635	0.2518883283956549
PDE3A	1	0	1	0.0921574048474795	0.2518883283956549
LRP2	12	0	2	0.09229349330872173	0.2518883283956549
VN1R4	1	0	1	0.09232757824762257	0.2518883283956549
PLD3	1	0	1	0.0925154963456379	0.2518883283956549
IFNGR1	1	0	1	0.09269558769002595	0.2518883283956549
SERPINF2	1	0	1	0.09280742459396751	0.2518883283956549
JMJD6	2	0	1	0.09293680297397769	0.2518883283956549
SF3B14	1	0	1	0.09304922303898762	0.2518883283956549
PSTK	1	0	1	0.09333582228859436	0.2518883283956549
PRDM14	4	0	1	0.09357162908206232	0.2518883283956549
GAK	2	0	1	0.09433072351664937	0.2518883283956549
MRPS15	1	0	1	0.0944822373393802	0.2518883283956549
SPRYD4	1	0	1	0.09449116507606539	0.2518883283956549
BCL6	2	0	1	0.09453582907922102	0.2518883283956549
SLC34A3	1	0	1	0.09484066767830046	0.2518883283956549
HECW1	4	0	2	0.09487666034155598	0.2518883283956549
FAM35A	2	0	1	0.09490367277213628	0.2518883283956549
ZBTB38	2	0	1	0.0949667616334283	0.2518883283956549
MZB1	1	0	1	0.09509319132750095	0.2518883283956549
NOP14	2	0	1	0.09551098376313276	0.2518883283956549
CACNA1C	6	0	2	0.0956297217175098	0.2518883283956549
ZP4	1	0	1	0.09578544061302682	0.2518883283956549
LRFN3	2	0	1	0.09584052137243626	0.2518883283956549
ZNF202	2	0	1	0.09651578033008397	0.2518883283956549
HSPG2	3	0	1	0.09666505558240696	0.2518883283956549
GCM2	1	0	1	0.09709680551509856	0.2518883283956549
RASA3	1	0	1	0.09749439407234084	0.2518883283956549
TMEM169	1	0	1	0.0975800156128025	0.2518883283956549
COL4A6	2	0	1	0.09778994719342851	0.2518883283956549
SOX5	2	0	1	0.09783778495254868	0.2518883283956549
ULK1	2	0	1	0.09795278675678323	0.2518883283956549
SLC35F3	2	0	1	0.09806805923310778	0.2518883283956549
BRS3	1	0	1	0.09832841691248771	0.2518883283956549
YLPM1	2	0	1	0.0984348853233586	0.2518883283956549
NDUFS3	1	0	1	0.09860960457548565	0.2518883283956549
