,gene,score
589,DSCAM,38.43224612
590,TG,38.40569474
591,BMP5,38.35341712
592,ATL3,38.31325308
593,CYLC1,37.74091342
594,VPS52,37.65454533
595,XPO4,37.50732701
596,GRIK3,37.46578589
597,VAV1,37.45840409
598,PDZRN3,37.38566773
599,SMARCA1,37.34261763
600,ZNF236,37.27426638
601,RGS12,37.18583035
602,MYO1B,37.14716157
603,ZIC1,37.05749303
604,KIF21A,37.00202242
605,LRRC4C,36.9582711
606,SLITRK4,36.95762883
607,KLHL6,36.60713491
608,MAN2C1,36.60310387
609,TAF1A,36.54102312
610,UGT2B15,36.53203485
611,KIF1C,36.43311266
612,CLGN,36.43036315
613,CACNA2D1,36.41781167
614,ADAM17,36.37689472
615,PPP1R3A,36.32583529
616,DYRK1A,36.29891424
617,OR5F1,36.26967683
618,ESR1,36.15598467
619,WDFY3,36.12947892
620,PIM1,35.92638422
621,ARAP3,35.91996609
622,PCF11,35.91018142
623,JAG1,35.78933363
624,CBLN1,35.7843386
625,MTMR4,35.64909833
626,VPS8,35.57044615
627,TNR,35.5007088
628,RNF133,35.49122346
629,KIAA1211,35.44861261
630,SPATA3,35.38676296
631,TBC1D4,35.26147451
632,ANP32E,35.2102816
633,SH2B3,35.12071118
634,PKP2,35.08973108
635,TIAL1,35.03596381
636,ST5,35.01228782
637,SCAF8,34.96108271
638,GABRA4,34.93146707
639,MOV10L1,34.83908746
640,FANCL,34.76044283
641,SCN3A,34.75751899
642,DPPA4,34.69636286
643,FUT9,34.67667567
644,PNMA1,34.5326673
645,WDFY4,34.4022741
646,NLRP9,34.39844047
647,THSD1,34.38216911
648,ZNF90,34.36540886
649,GCC2,34.30890966
650,INSRR,34.19859578
651,ROBO2,34.14916889
652,CFH,34.1392706
653,TMEM232,33.97349022
654,PLCL2,33.88267747
655,ABCA3,33.86861765
656,ZFHX4,33.78743672
657,WDR70,33.78380687
658,HECW1,33.76013935
659,AHSG,33.51778015
660,RUNX1,33.46681692
661,SLC8A1,33.39459179
662,DNAH3,33.37787251
663,NAT16,33.08086279
664,OR5B3,33.07951752
665,MEF2B,33.03198828
666,MAGEC2,33.00568105
667,CYP51A1,32.98323807
668,RBBP8NL,32.96741557
669,YY1,32.96571003
670,TMSB4X,32.9318019
671,ST8SIA6,32.92938537
672,FCGBP,32.89165954
673,TPTE,32.88633407
674,LRRC66,32.8645359
675,UBE2O,32.8643194
676,UBA2,32.85199738
677,ATP1A3,32.83925956
678,OR4C6,32.83579191
679,FGA,32.79871923
680,AMD1,32.79648647
681,EGF,32.79155386
682,PTPRD,32.75725924
683,DCHS1,32.68946702
684,STX17,32.63358306
685,KLHL12,32.58806954
686,TAF1,32.58494628
687,STOM,32.5831311
688,SPG7,32.56726254
689,OR5J2,32.43361061
690,CLIC1,32.40980632
691,ERC2,32.40957353
692,ADAMTS13,32.36867464
693,TMEM30A,32.34071419
694,ZNF264,32.23016243
695,ERF,32.2095304
696,GALNT5,32.14577507
697,GPAM,32.07752033
698,BCHE,31.97953464
699,NOVA1,31.87974467
700,PARD6B,31.83955538
701,AMOTL1,31.63843298
702,PCDH9,31.6047551
703,ZNF462,31.597637
704,SLC16A4,31.57760774
705,PTPN1,31.44387175
706,COL4A2,31.40542539
707,TUBB4B,31.40485245
708,ZPBP,31.40088116
709,ZDHHC2,31.33767599
710,TTC13,31.33607372
711,LRMP,31.29517819
712,HNRNPK,31.22762721
713,PRRC2A,31.08724998
714,EP400,31.08510287
715,ADAMTS19,31.0649039
716,GABRG2,31.03039647
717,DMRTA1,30.99824413
718,CAMK2D,30.977022
719,FBN3,30.95573459
720,CLCN2,30.91927351
721,UBA6,30.91874203
722,SEMA5A,30.88540713
723,PTCHD3,30.76282693
724,SGK1,30.68787361
725,CNOT1,30.67604463
726,ITGA1,30.64743887
727,GRM5,30.56806418
728,CCSER2,30.55750867
729,DDX56,30.5554112
730,MYT1L,30.43139959
731,CTNNAL1,30.43098093
732,RP1L1,30.40379607
733,DNMT3L,30.36811868
734,GABRG1,30.27261403
735,LUC7L3,30.14620372
736,ZEB2,30.12416287
737,POLI,30.10434091
738,RAPGEF4,30.03667305
739,RAB20,29.95604143
740,OR13C4,29.91789985
741,OR5D14,29.91268423
742,CUBN,29.8438578
743,IRF4,29.80084183
744,TRIM41,29.7174415
745,OR51B5,29.71569008
746,ANKRD30A,29.66859845
747,MC4R,29.62452614
748,CEP170,29.568414
749,OSBPL10,29.56329307
750,P4HA3,29.47167201
751,P2RX1,29.44830742
752,FAM172A,29.41751671
753,INTU,29.35018738
754,CASP8,29.3240331
755,SMPDL3A,29.31667521
756,FRMPD1,29.23228807
757,HNRNPH3,29.22219202
758,CEP57,29.21127491
759,PPM1G,29.09942654
760,BTK,29.0204418
761,ATAD5,29.01339454
762,NCOR2,28.92479203
763,MGAT4C,28.89625602
764,NUFIP2,28.88068365
765,ACTB,28.70083525
766,EPHA3,28.68102613
767,CD74,28.59138215
768,PTPRC,28.58363018
769,KCNJ16,28.58085223
770,TCF4,28.49775227
771,ANKRD50,28.46451561
772,ACVR1B,28.44136446
773,CCND2,28.42554713
774,SLITRK3,28.39540724
775,ZBTB8A,28.33620888
776,SUSD2,28.27137148
777,NPAT,28.27054623
778,ZNF484,28.2613982
779,SERPINA5,28.12436995
780,YES1,28.1127964
781,DSE,28.09761746
782,EFCAB6,27.99937025
783,BCORL1,27.98483365
784,RBBP6,27.92822825
785,CDC25A,27.9026956
786,FANCM,27.69374738
787,HIST1H1E,27.68677948
788,PHF3,27.65454219
789,SIPA1L1,27.56238201
790,MYO6,27.49048953
791,CHL1,27.42603403
792,GFRAL,27.4081056
793,PCDH17,27.3670205
794,YWHAH,27.25551233
795,NEBL,27.23379009
796,NOTCH4,27.1934545
797,AFP,27.13881875
798,TTC17,27.0850216
799,FAM9C,27.08240596
800,NRSN1,27.06698359
801,NFE2L2,26.96050405
802,TNFRSF10B,26.94517523
803,TGFBR3,26.93209707
804,CACNA1D,26.92485614
805,AP3S1,26.9239428
806,YBEY,26.9161704
807,WWP1,26.90777204
808,HCN1,26.8932343
809,NEK5,26.88832673
810,CNTN5,26.82940842
811,SLC25A34,26.76385379
812,KIF26A,26.74660751
813,HS3ST1,26.71423498
814,HNF1B,26.5182794
815,IL16,26.45938261
816,STAT3,26.44910896
817,MECR,26.42902925
818,DCDC1,26.4191805
819,YIPF4,26.41630652
820,SCN7A,26.36237411
821,CXCR3,26.34450248
822,BRD9,26.33876974
823,PCDH12,26.2983799
824,ETS1,26.28749796
825,GSTA3,26.27600411
826,ZMYND12,26.26670653
827,STON1,26.21878478
828,OR5W2,26.21641513
829,SLCO1C1,26.21076994
830,GAPVD1,26.20213304
831,DSTYK,26.19360093
832,TGIF2,26.14168003
833,TDRD12,26.11775969
834,ELF4,26.0956279
835,GPR17,26.06484154
836,DTL,26.02028986
837,FERMT2,25.99934654
838,TRPS1,25.97502115
839,FAT4,25.91509535
840,RIMBP2,25.80070447
841,MTOR,25.74474208
842,CCDC173,25.70052743
843,KCNB1,25.69295306
844,STAP2,25.67829537
845,CNTNAP5,25.66105646
846,TRPA1,25.63372177
847,ATAD2B,25.63360826
848,ZNF627,25.61903563
849,ACP2,25.56592977
850,MAP4K4,25.56489132
851,CAPNS1,25.55229176
852,TGFBR1,25.49312828
853,MGST1,25.45321533
854,CARD11,25.43619378
855,PHF12,25.40100998
856,SC5D,25.39825114
857,PAX6,25.38152312
858,SLC5A4,25.36049337
859,IL21R,25.34306462
860,ZNF280D,25.31063992
861,ARMC3,25.23821756
862,OR10P1,25.19920184
