,gene length,silent,nonsense,splice site,missense,recurrent missense,frameshift indel,inframe indel,lost start and stop,expression_CCLE,replication_time,HiC_compartment,gene_betweeness,gene_degree,exp_mean,exp_std,methy_mean,methy_std,cna_mean,cna_std,3'UTR,5'UTR,SNP,DEL,INS
TAX1BP1,0.007974468,-0.001416995,0.010266327,0.000671983,-0.007285563,-0.028321907,-0.00237412,0.004791309,-0.001726034,-0.001267652,-0.003649182,-0.003720018,0.022287157,0.027919023,-0.003483948,-0.012388149,0.005044859,-0.003016757,-0.00670138,-0.004679698,-0.000930934,0,-0.018591853,-0.016402124,-0.012802434
TBATA,-0.006775542,-0.003548468,-0.002893062,-0.002041924,0.002298505,-0.009291867,-0.002769836,-0.002993904,0.002298189,-0.001098492,-0.000372182,-0.001961479,-0.023929394,-0.026843491,-0.004733916,-0.002809222,-0.002533902,-0.005710989,0.003629544,-0.001667875,-0.001377699,-0.001497,-0.007333072,-0.009926528,-0.010920019
TBC1D10B,0.008929613,-0.002279648,-0.007254695,-0.000196392,-0.002643191,-0.014220404,-0.002296384,0.005228755,-0.000431098,0.008385485,-0.002602016,0.006540502,-0.007985079,-0.021748202,-0.000263067,-0.00489978,0.002009638,-0.004441258,-0.005160621,-0.000375391,0.002740703,-0.001009173,-0.015414295,-0.009608278,-0.011166489
TBC1D20,-0.007971148,-0.00661404,-0.00342044,-0.000438913,-0.001088166,0.004872087,-0.003628168,-0.003734252,0.003449803,-0.001117668,0.000598404,0.001513807,-0.019834744,-0.033461714,0,-0.004133623,-0.003796432,-0.006990558,-0.003785439,0.002276728,0.004129801,-0.000485187,-0.011100946,-0.011302287,-0.013383388
TBC1D22B,-0.004181298,-0.004652937,-0.004621147,0,-0.00299402,-0.014680143,-0.002516778,-0.003074759,-0.000431603,-0.001322254,-0.00051212,0.001231038,-0.01015119,-0.00142761,-0.003126529,-0.004313268,-0.002874275,-0.007171905,-0.004562461,0.000741253,-0.002409191,-0.001795394,-0.010202896,-0.011916773,-0.011765934
TBC1D24,-0.005551329,-0.00460334,0.003840963,-0.001858095,0.001874062,-0.009995707,-0.002356556,-0.002722569,-0.000378898,0.001789921,-0.001001085,0.005882119,-0.0124698,-0.026703137,-0.004517896,-0.003623721,-0.003648244,-0.006106576,-0.002095039,-0.000909266,-0.002816216,-0.000853523,-0.015368469,-0.01169472,-0.009987929
TBC1D25,-0.00080032,-0.002782496,-0.005957494,-0.00124384,-0.003697616,-0.008450405,-0.003136463,-0.003130148,-0.000419117,-0.000815741,-0.000401661,-0.004881658,-0.01494675,-0.024430841,-0.002905902,-0.002939706,-0.002794898,-0.006105694,-0.001975088,-0.001048624,-0.002992955,-0.000641513,-0.000732877,-0.010752015,-0.007891229
TBC1D28,-0.007628271,-0.003528191,-0.001905393,0,-0.002830098,-0.00118133,-0.002586909,-0.003141603,-0.000592164,-0.000620698,-0.000113595,-0.004144049,-0.023673592,-0.028616706,0.002589493,-0.003492064,-0.00333223,-0.006109813,0.002832662,-0.001581661,-0.002374246,-0.000520243,-0.012732822,-0.009852997,-0.009667106
TBC1D29,-0.006866286,-0.003743601,0.00280087,-0.000245108,0.001409201,-0.008845386,-0.003420108,-0.002701917,-0.000568843,-0.000864772,-0.000558044,-0.001440876,-0.022842965,-0.030023826,0.003224648,-0.003995639,-0.005033325,-0.006648605,-0.004204897,-0.00120988,0,0.007125364,-0.013111736,-0.009681788,-0.011570392
TBC1D31,0.00620947,-0.004125743,-0.006485866,-0.000366119,-0.002386855,-0.0117337,-0.002637035,0.002005231,-0.000362063,-0.001190382,-0.000735819,-0.002777724,-0.026916049,-0.030694433,-0.0056404,-0.003171321,-0.003732431,-0.006651769,-0.002965337,0.002778517,-0.003961099,-0.000771518,-0.003874332,-0.010522454,-0.002308679
TBC1D7,-0.014651454,-0.001189457,-0.006666917,-0.006786042,-0.001317211,-0.005104035,-0.005020232,-0.006230712,0.011476749,-0.001453261,-0.000404454,-0.000952772,0.020035547,-0.01033008,-0.005820618,-0.004359751,-0.007246882,0.019600309,0.001779228,-0.002109246,-0.003249982,-0.001334827,-0.009258331,-0.013492543,-0.017145221
